0.2;0.4;0.6;0.8;;;;;;;
21321;21300;21332;21411;;21411;;0,420344683;0,518425109;0,368969221;0
21436;21421;21257;21237;;21436;;0;0,069975742;0,835043851;0,92834484
21257;21234;21306;21217;;21306;;0,229982165;0,337932977;0;0,417722707
21352;21357;21258;21415;;21415;;0,294186318;0,270838198;0,733130983;0
21359;21298;21310;21318;;21359;;0;0,285593895;0,229411489;0,191956552
21481;21345;21259;21232;;21481;;0;0,633117639;1,03347144;1,159163912
21305;21406;21469;21476;;21476;;0,796237661;0,325945241;0,032594524;0
21231;21388;21344;21464;;21464;;1,085538576;0,354081252;0,559075662;0
;;;;;;;0,353286175;0,349488756;0,473962146;0,337148502
